epoch,accuracy,loss,val_accuracy,val_loss
0,0.874148964881897,0.3286721110343933,0.8800661563873291,0.3248521089553833
1,0.9634825587272644,0.09972666203975677,0.9727047085762024,0.08300197124481201
2,0.9812254905700684,0.056973762810230255,0.9801489114761353,0.06158604472875595
3,0.984113872051239,0.046742506325244904,0.977667510509491,0.05686212331056595
4,0.9888591170310974,0.03596591576933861,0.9793217778205872,0.060166507959365845
5,0.9919537901878357,0.02541637048125267,0.985111653804779,0.05127484351396561
6,0.9929853677749634,0.02377098612487316,0.9909015893936157,0.029772156849503517
7,0.9923664331436157,0.02407134883105755,0.9900744557380676,0.029159240424633026
8,0.9940169453620911,0.02107004076242447,0.9917287230491638,0.027338653802871704
9,0.995461106300354,0.01502611581236124,0.9892473220825195,0.024917718023061752
10,0.993191659450531,0.01897488348186016,0.9917287230491638,0.02253102883696556
11,0.995048463344574,0.015612619929015636,0.9942100644111633,0.01810244843363762
12,0.9964926838874817,0.013165751472115517,0.9826302528381348,0.0470922626554966
13,0.9952548146247864,0.016338655725121498,0.9966914653778076,0.012448611669242382
14,0.9964926838874817,0.008521679788827896,0.9958643317222595,0.01810108684003353
15,0.9940169453620911,0.01757855713367462,0.9925558567047119,0.017029060050845146
16,0.9979368448257446,0.0077493381686508656,0.9958643317222595,0.01261885091662407
17,0.9979368448257446,0.0070441183634102345,0.9925558567047119,0.02858438529074192
18,0.9960800409317017,0.010444368235766888,0.9900744557380676,0.01943058706820011
